index,input,type,A,B,C,D,E,F,summary,A_c,B_c,C_c,D_c,E_c,F_c,sentiment_gpt
1351,"サイト運用をするカニがAIの適切な対応ができるとは思えない。
規制当局がAIの使用の規制を求める。",規範的主張,カニがAIの適切な対応,できないと思う,規制当局,AIの使用の規制を求めるべき,NA,NA,カニがAIの適切な対応ができないと思うから、規制当局はAIの使用の規制を求めるべきである。,3083,2032,369,150,2960,2960,0.1
1352,"AI学習普及が文芸創作活動に対して業界の衰退・消滅を引き起こしている。
生成AI・AI学習が禁止であるべきである。",規範的主張,AI学習普及,文芸創作活動の衰退,生成AI・AI学習,禁止,NA,NA,AI学習普及が文芸創作活動の衰退を引き起こしているから生成AI・AI学習が禁止であるべきである。,7,2970,7,774,2960,2960,0.1
1353,"生成AIが我が国に対して不利益や侮辱を広げる下準備をしている。
規制当局が規律の見直しをしてほしい。",要望,生成AIが,不利益や侮辱を広げる下準備,NA,NA,規制当局,規律の見直しをしてほしい,生成AIが不利益や侮辱を広げる下準備をしているから、規制当局に規律の見直しをしてほしい。,0,2406,2960,2960,369,3297,0.1
1356,"検索拡張生成（RAG）等がインターネット上やSNSでの情報発信に対してインターネット上やSNSで発信されている情報が多い方が回答として出力される可能性がある状況を引き起こしている。
Google等の検索エンジンが実際の動物を被写体とした画像ではなく画像生成AIで生成された実際の特徴と異なる画像が上位に表示されないように制限してほしい。",要望,検索拡張生成,情報発信に影響,NA,NA,Google等の検索エンジン,AI画像の制限,検索拡張生成が情報発信に影響しているから、Google等の検索エンジンに対してAIで生成された画像の表示制限をして欲しい。,4216,2023,2960,2960,1275,2818,0.2
1357,"他社の作品が自分の作品として利益を得ている。
生成AI全般が強い規制が必要である。",規範的主張,他社の作品,自分の作品として利益を得ている,生成AI全般,強い規制が必要,NA,NA,他社の作品が自分の作品として利益を得ているから、生成AI全般には強い規制が必要であるべきである。,3035,1886,0,18,2960,2960,0.1
1358,"生成AIにより作成された動画が岸田首相に対して不利なものとなるケースを引き起こしている。
岸田首相が合法化するべきではない。",規範的主張,生成AIによる動画,岸田首相に不利,合法化,すべきではない,NA,NA,生成AIによる動画が岸田首相に不利だから合法化すべきではない。,5112,1357,521,378,2960,2960,0.1
1360,"生成AIが画像データに対して児童ポルノ画像や性被害者の画像等が見つかっている状況を引き起こしている。
生成AIの学習に用いる著作権や肖像権を有する画像、音声、映像データの拒否権が新たに取り決めるべきである。",規範的主張,生成AIが画像データに対して,児童ポルノ画像や性被害者の画像等が見つかっている,著作権や肖像権を有する画像、音声、映像データの拒否権,新たに取り決めるべき,NA,NA,生成AIが画像データに対して児童ポルノ画像や性被害者の画像等が見つかっているから、著作権や肖像権を有する画像、音声、映像データの拒否権を新たに取り決めるべきである。,0,1041,2413,934,2960,2960,0.1
1361,"法規制の不在がクリエイターに対して苦しい思いをしている。
政府が法規制を求める。",要望,法規制の不在,クリエイターに対して苦しい思い,NA,NA,政府,法規制を求める,法規制の不在がクリエイターに対して苦しい思いをしているから、政府に対して法規制を求めて欲しい。,1825,425,2960,2960,2383,3238,0.1
1362,"生成AIが既存の著作物に対して依存している。
生成AIの利用が知的財産の権利者の人権を軽視することに等しい。",規範的主張,生成AIが既存の著作物に依存,知的財産の権利者の人権を軽視,生成AIの利用,権利者の人権を尊重すること,NA,NA,生成AIが既存の著作物に依存しているから、生成AIの利用は権利者の人権を尊重することであるべきである。,0,2287,0,2133,2960,2960,0.1
1363,"生成AIが過去の著作物を作者の許可なく学習して生成する結果が著作権者に対して書いたと見紛うような画像が生成される状況を引き起こしている。
絵柄を含む著作物の保護が保護されるべきである。",規範的主張,生成AI,著作物を学習,絵柄を含む著作物の保護,保護されるべき,NA,NA,生成AIが著作物を学習しているから、絵柄を含む著作物の保護が保護されるべきである。,0,338,1098,204,2960,2960,0.1
1364,"生成AIが創作物に対して保護できない状況を引き起こしている。
生成AIが主流になるべきではない。",規範的主張,生成AIが創作物に対して保護できない状況,NA,生成AI,主流になるべきではない,NA,NA,生成AIが創作物に対して保護できない状況だから、生成AIは主流になるべきではない。,672,2960,0,410,2960,2960,0.1
1366,"現在の外国製の生成AIが国が公金を使い援助すること。
現在進行で被害にあっている国民が聞き取りと支援を第一優先に取り組むべきである。",規範的主張,外国製の生成AI,国が公金を使い援助すること,国民が聞き取りと支援,第一優先,NA,NA,外国製の生成AIが国が公金を使い援助することであるから、国民が聞き取りと支援を第一優先に取り組むべきである。,1258,974,3107,5095,2960,2960,0.1
1367,"生成AIにおける学習が著作物に対してそのまま出てしまう状況を引き起こしている。
生成AI技術が厳しく取り締まることが喫緊の課題である。",規範的主張,生成AIにおける学習,著作物に対してそのまま出てしまう状況,生成AI技術の厳しい取り締まり,喫緊の課題,NA,NA,生成AIにおける学習が著作物に対してそのまま出てしまう状況だから、生成AI技術の厳しい取り締まりが喫緊の課題であるべきである。,7,3193,2572,2462,2960,2960,0.1
1369,"生成AIが自身の作品を無断で学習され利益を得ている状況を引き起こしている。
文化及びそれらに携わる人間の権利が重要視されるべきである。",規範的主張,生成AIが自身の作品を無断で学習され,利益を得ている状況,文化及びそれらに携わる人間の権利,重要視されるべき,NA,NA,生成AIが自身の作品を無断で学習され利益を得ている状況だから、文化及びそれらに携わる人間の権利が重要視されるべきである。,7,5093,3280,2926,2960,2960,0.1
1373,"AI推進法を求めている人々がAI推進法を求めている。
政府がAIによる悪用を取り締まって欲しい。",要望,AI推進法を求めている人々,AI推進法を求めている,NA,NA,政府,AIによる悪用を取り締まる,AI推進法を求めている人々がAI推進法を求めているから、政府に対してAIによる悪用を取り締まって欲しい。,2836,3237,2960,2960,2383,2608,0.2
1375,"一次コンテンツ制作者の権利がAIで生成されたコンテンツに著作権を認めることに対して競争を極めて不利にしている。
著作権を無視した学習やその学習をもとにしたAI生成が反対である。",規範的主張,一次コンテンツ制作者,権利がAIで生成されたコンテンツに著作権を認めること,著作権を無視した学習,反対であるべき,NA,NA,一次コンテンツ制作者の権利がAIで生成されたコンテンツに著作権を認めることは、著作権を無視した学習が反対であるべきである。,3342,2500,143,243,2960,2960,0.2
1377,"創作者・クリエイターの技術が文化に対して評価されてきた状況を引き起こしている。
文化や評価される価値の創出が個人の技術であるべきである。",規範的主張,創作者・クリエイターの技術,文化に対して評価されてきた,文化や評価される価値の創出,個人の技術であるべき,NA,NA,創作者・クリエイターの技術が文化に対して評価されてきたから、文化や評価される価値の創出は個人の技術であるべきである。,422,3236,2822,4474,2960,2960,0.1
1379,"AI生成物が学習元に対して非常に危険性をはらんでいる状況を引き起こしている。
私的利用を超えた利用が著作権侵害にあたる場合があるとする記述であるべきである。",規範的主張,AI生成物が,危険性をはらんでいる,私的利用を超えた利用,著作権侵害にあたる,NA,NA,AI生成物が危険性をはらんでいる状況だから、私的利用を超えた利用は著作権侵害にあたるべきである。,0,655,2085,15,2960,2960,0.2
1380,"生成AIがクリエイターの技術に対して無断投稿、販売されている。
イラストの使用が依頼、購入で成り立つはずである。",要望,生成AIがクリエイターの技術,無断投稿、販売されている,NA,NA,イラストの使用,依頼、購入で成り立つはず,生成AIがクリエイターの技術に対して無断投稿、販売されているから、イラストの使用には依頼、購入で成り立つはずである。,10,770,2960,2960,314,2285,0.1
1381,"AI創作が創作活動に対してメディアに出せなくなる状況を引き起こしている。
AIで創作活動することの規制に関する素案が取消されるべきである。",規範的主張,AI創作が創作活動に対して,メディアに出せなくなる状況,AIで創作活動することの規制,取消されるべき,NA,NA,AI創作が創作活動に対してメディアに出せなくなる状況を引き起こしているから、AIで創作活動することの規制は取消されるべきである。,0,2511,4978,2292,2960,2960,0.1
1382,"AI生成が著者・作者・声優・製作者に対して弄ばれることになる。
AI生成の使用が制限をつけるべきである。",規範的主張,AI生成が著者・作者・声優・製作者に,弄ばれることになる,AI生成の使用,制限をつけるべき,NA,NA,AI生成が著者・作者・声優・製作者に弄ばれることになるから、AI生成の使用には制限をつけるべきである。,4760,3458,0,216,2960,2960,0.1
1384,"現状のAIの運用状況や成り立ちからして、出所が不透明なデータを大量に集めている事が常態化しているが著作者の許諾を得ていない違法なデータが多分に含まれる事を前提に運用せざるを得ない状態がスタートラインになってしまっている。
政府や大学等の機関がAI運用のために登録してもよいデータを募り、一定周期で期間からデータセットを公開し、それを運用させるという方針を早々に打ち出し、世界に出遅れないように準備を整えるべきである。",規範的主張,AIの運用状況,不透明なデータが多い,政府や大学等の機関,データセットを公開すべき,NA,NA,AIの運用状況は不透明なデータが多いから、政府や大学等の機関はデータセットを公開すべきである。,215,2874,2482,3630,2960,2960,0.2
1386,"AIの普及がクリエイターのノウハウと努力・負担に対してないがしろにしている。
AIによって生成された作品がAIでないものとして扱われる未来が憂慮すべきである。",規範的主張,AIの普及,クリエイターのノウハウと努力・負担に対してないがしろにしている,AIによって生成された作品,AIでないものとして扱われる未来が憂慮すべき,NA,NA,AIの普及がクリエイターのノウハウと努力・負担に対してないがしろにしているから、AIによって生成された作品がAIでないものとして扱われる未来が憂慮すべきである。,154,2531,0,1645,2960,2960,0.2
1388,"生成AIが学習元作品の作者に対して強烈な嫌がらせを引き起こしている。
生成AIに対する慎重な判断が望む。",要望,生成AIが学習元作品の作者に対して,強烈な嫌がらせを引き起こしている,NA,NA,生成AIに対する,慎重な判断,生成AIが学習元作品の作者に対して強烈な嫌がらせを引き起こしているから、生成AIに対して慎重な判断をして欲しい。,3392,210,2960,2960,0,1784,0.1
1389,"AI技術を使って創作行為を行うクリエイターがAI技術を使って創作行為を行うクリエイターの元の創作物を勝手に機械学習させて画像を生成している行為。
筆者がAI技術を使って創作行為を行うクリエイターの行為を助長させる素案に断固反対する。",規範的主張,AI技術を使うクリエイター,創作物を勝手に学習,素案に反対,断固として,NA,NA,AI技術を使うクリエイターが創作物を勝手に学習するから、素案には断固として反対すべきである。,10,1442,91,4683,2960,2960,0.1
1391,"生成AIを使う人たちが創作活動に対して横入りして人の成果物を横取りするような状況を引き起こしている。
判断を下す人々が地道に活動されているプロ、アマ問わず全ての人々のために懸命な判断をして欲しい。",要望,生成AIを使う人たち,創作活動に横入りして人の成果物を横取りするような状況,NA,NA,判断を下す人々,地道に活動されているプロ、アマ問わず全ての人々のために懸命な判断をして欲しい,生成AIを使う人たちが創作活動に横入りして人の成果物を横取りするような状況だから、判断を下す人々には地道に活動されているプロ、アマ問わず全ての人々のために懸命な判断をして欲しい。,0,1609,2960,2960,5099,2997,0.2
1393,"生成AIが著作権に対して違法性が高く侵害している状況を引き起こしている。
生成AIの画像学習が許可を得て行うべきである。",規範的主張,生成AIが著作権に対して,違法性が高く侵害している状況,生成AIの画像学習,許可を得て行うべき,NA,NA,生成AIが著作権に対して違法性が高く侵害している状況だから生成AIの画像学習は許可を得て行うべきである。,0,2656,146,71,2960,2960,0.1
1394,"個人の顔写真のAI学習が肖像権の侵害・暴力的描写・児童ポルノ等への使用に対して危険を引き起こしている。
政府が再検討を求める。",要望,個人の顔写真のAI学習,肖像権の侵害・暴力的描写・児童ポルノ等への使用に対して危険,NA,NA,政府,再検討,個人の顔写真のAI学習が肖像権の侵害・暴力的描写・児童ポルノ等への使用に対して危険だから、政府に対して再検討をして欲しい。,4786,2670,2960,2960,2383,2025,0.1
1395,"生成AIが学習元の作品に対して無断で盗んで集中学習させている。
現生成AIが無断学習の禁止、既存のデータセットの消去、生成AIの撤廃を強く求める。",規範的主張,生成AIが学習元,無断で盗んで集中学習,無断学習の禁止,強く求める,NA,NA,生成AIが学習元を無断で盗んで集中学習しているから無断学習の禁止を強く求める。,7,4921,168,1494,2960,2960,0.1
1396,"文化庁が著作権侵害に対して放置しているかのように感じている。
司法がデジタル分野での盗用、脅迫行為、詐称やデマに対する法整備、刑事罰の強化を提言して欲しい。",要望,文化庁,著作権侵害に対して放置しているかのよう,NA,NA,司法,デジタル分野での盗用、脅迫行為、詐称やデマに対する法整備、刑事罰の強化を提言,文化庁が著作権侵害に対して放置しているかのようだから、司法にデジタル分野での盗用、脅迫行為、詐称やデマに対する法整備、刑事罰の強化を提言して欲しい。,2182,665,2960,2960,4630,2388,0.1
1397,"生成AIが個人の写真や子供の写真に対して勝手に学習されること。
精巧なAI写真に対する管理が罰則や強制削除が必要である。",規範的主張,生成AIが,個人の写真に対して勝手に学習,精巧なAI写真に対する管理,罰則や強制削除が必要,NA,NA,生成AIが個人の写真に対して勝手に学習されることから、精巧なAI写真に対する管理には罰則や強制削除が必要である。,0,3127,2995,430,2960,2960,0.1
1398,"法第30条の4の「当該著作物に表現された思想又は感情を自ら享受し又は他人に享受させることを目的としない場合には」という部分が解釈の余地がある。
著作者及び著作権保持者の現場の声が多く聞かれるべきである。",規範的主張,法第30条の4,解釈の余地がある,著作者及び著作権保持者,現場の声が多く聞かれるべき,NA,NA,法第30条の4が解釈の余地があるから、著作者及び著作権保持者の現場の声が多く聞かれるべきである。,225,4747,1134,2582,2960,2960,0.2
1399,"AI技術の発展が目覚しいものである。
政府が法律によって創作者の権利を第一に守って頂きたい。",要望,AI技術の発展,目覚しいもの,NA,NA,政府,法律によって創作者の権利を守る,AI技術の発展が目覚しいものだから、政府に対して法律によって創作者の権利を守って欲しい。,10,1633,2960,2960,2383,527,0.1
1401,"生成AIが個人と個人が創作した作品に対して盗用して流出させている。
生成AIで作成された創作物のモデルに著作権及び肖像権が関わるものを使用しない法が導入されるべきである。",規範的主張,生成AIが創作作品を盗用,流出させている,著作権及び肖像権を守る法,導入されるべき,NA,NA,生成AIが創作作品を盗用して流出させているから、著作権及び肖像権を守る法が導入されるべきである。,165,4879,32,4126,2960,2960,0.1
1402,"ネット上で数多く無料で投稿されたartworkを作者の同意なく学習させて成立させている画像生成AIが倫理的ではない使われ方をしている。
画像生成AIの使用が絵描きの仕事が奪われないようにあるべきである。",規範的主張,画像生成AIの使用,絵描きの仕事が奪われないように,画像生成AIの使用,絵描きの仕事が奪われないようにあるべき,NA,NA,画像生成AIの使用は絵描きの仕事が奪われないようにあるべきである。,0,181,0,181,2960,2960,0.1
1403,"生成AIが特定の個人の作品に対して作者から許可を得ていない状況を引き起こしている。
生成AIが特定の個人のコピーができないようにするべきである。",規範的主張,生成AIが特定の個人の作品に対して,許可を得ていない状況,生成AIが特定の個人のコピー,できないようにする,NA,NA,生成AIが特定の個人の作品に対して許可を得ていない状況だから、生成AIが特定の個人のコピーができないようにするべきである。,4956,4531,3969,4224,2960,2960,0.1
1406,"若いクリエイターの作品がAI学習により搾取される市場が市場そのものが壊れる。
海賊版の再利用されたAI生成作品を合法とする行為がよろしくないである。",規範的主張,市場が壊れる,若いクリエイターの作品がAI学習により搾取される,海賊版の再利用,合法とする行為がよろしくない,NA,NA,市場が壊れる若いクリエイターの作品がAI学習により搾取されるから、海賊版の再利用されたAI生成作品を合法とする行為がよろしくないである。,1569,871,4270,1845,2960,2960,0.1
1407,"配布PDF10ページ目後半、11ページ頭に記載されている学習データが切り貼りではないとされる事について。
岸田総理が言った変なニュースが創作として守られて然るべきである。",規範的主張,岸田総理,変なニュースが言われた,創作,守られるべき,NA,NA,岸田総理が変なニュースが言われたから創作が守られるべきである。,3417,2838,177,179,2960,2960,0.1
1408,"著作物等がAI開発・学習に無断で利用されている状況がクリエイターに対して懸念を引き起こしている。
生成AIがデータ元の著作物がクリアな状態で使用されるべきである。",規範的主張,著作物等の無断利用,クリエイターに懸念,生成AIの使用,クリアな状態で,NA,NA,著作物等の無断利用がクリエイターに懸念を引き起こしているから、生成AIの使用はクリアな状態であるべきである。,223,4656,0,3955,2960,2960,0.2
1409,"生成AIが著作権侵害に対して温床となっている。
生成AIの公開や出力の利用がデータセット作成段階で著作権者に許可を取ることが必要である。",規範的主張,生成AIが著作権侵害,温床となっている,生成AIの公開や出力の利用,データセット作成段階で著作権者に許可を取ることが必要,NA,NA,生成AIが著作権侵害の温床となっているから、生成AIの公開や出力の利用はデータセット作成段階で著作権者に許可を取ることが必要であるべきである。,0,2544,3100,3896,2960,2960,0.2
1410,"AIを活用する要項がクリエイターの仕事に対して減少させている。
規制当局が規制を強くかけてほしい。",要望,AIを活用する要項,クリエイターの仕事に対して減少させている,NA,NA,規制当局,規制を強くかけてほしい,AIを活用する要項がクリエイターの仕事に対して減少させているから、規制当局に対して規制を強くかけてほしい。,3865,212,2960,2960,369,153,0.1
1411,"AIに無断で他人の作品や写真を学習させることが創作をする全ての人への冒涜である。
筆者が断固反対する。",規範的主張,AIに無断で他人の作品や写真を学習させること,創作をする全ての人への冒涜,筆者,断固反対,NA,NA,AIに無断で他人の作品や写真を学習させることは創作をする全ての人への冒涜であるから筆者は断固反対であるべきである。,1667,5080,1677,273,2960,2960,0.1
1412,"AIが個人の絵柄などを学習した時点でが盗作、無断転載になる。
AIで物を作る人間が創作者ではない。",規範的主張,AIが盗作,無断転載になる,AIで物を作る人間,創作者ではない,NA,NA,AIが盗作、無断転載になるからAIで物を作る人間は創作者ではない。,2341,158,790,2668,2960,2960,0.1
1415,"生成AIが合法として使用されることが精神的苦痛を引き起こすものである。
生成AIの使用が取りやめであるべきである。",規範的主張,生成AIが合法,精神的苦痛を引き起こす,生成AIの使用,取りやめであるべき,NA,NA,生成AIが合法であることが精神的苦痛を引き起こすものであるから、生成AIの使用は取りやめであるべきである。,44,3484,0,298,2960,2960,0.1
1416,"AIによるディープフェイクによって被害を受けた人が、責任を問う場所がない現状のままではが責任を問う場所を設けるべきである。
AIによるディープフェイクによって被害を受けた人が、責任を問う場所がない現状のままではが責任を問う場所を設けるべきである。",規範的主張,AIによるディープフェイク,被害を受けた人が責任を問う場所がない,責任を問う場所,設けるべき,NA,NA,AIによるディープフェイクによって被害を受けた人が責任を問う場所がないから、責任を問う場所を設けるべきである。,469,4626,3918,31,2960,2960,0.1
1417,"生成AIがクリエイターの権利に対して脅かしている。
生成AIへの作品の無断学習が禁止であるべきである。",規範的主張,生成AIがクリエイターの権利,脅かしている,生成AIへの作品の無断学習,禁止であるべき,NA,NA,生成AIがクリエイターの権利を脅かしているから、生成AIへの作品の無断学習は禁止であるべきである。,0,324,7,48,2960,2960,0.1
1419,"イラストや音楽、芸術に関するAIがプログラミング等で言うクローズドソースに対して大前提のものから学習している。
ルールもなしに好き勝手使えるAIツールがよろしくないとあるべきである。",規範的主張,AIが学習,クローズドソース,AIツールの使用,ルールが必要,NA,NA,AIがクローズドソースから学習しているから、AIツールの使用にはルールが必要であるべきである。,7,4829,327,2491,2960,2960,0.2
1420,"生成AIでの入力を行われたデータセットが著作者の未承諾のまま使用に対して悪用もされている状況を引き起こしている。
入力の時点での規制がきちんとかけていただかないと。",要望,生成AIでの入力,著作者の未承諾のまま使用,NA,NA,入力の時点での規制,きちんとかけて欲しい,生成AIでの入力は著作者の未承諾のまま使用だから、入力の時点での規制をきちんとかけて欲しい。,323,16,2960,2960,3763,1256,0.2
1421,"生成AIが自分の顔に対して意図しないものに使われる状況を引き起こしている。
生成AIがやめるべきである。",規範的主張,生成AIが自分の顔に対して,意図しないものに使われる状況,生成AI,やめる,NA,NA,生成AIが自分の顔に対して意図しないものに使われる状況だから、生成AIはやめるべきである。,1842,4077,0,2871,2960,2960,0.1
1422,"メディアでのフェイク画像が政治や経済に対して混乱を引き起こしている。
AI関連の使用が全面的に規制し公的研究機関だけに留めるべきである。",規範的主張,フェイク画像,混乱を引き起こす,AI関連の使用,公的研究機関だけに留める,NA,NA,フェイク画像が混乱を引き起こしているから、AI関連の使用は公的研究機関だけに留めるべきである。,857,4577,2334,2722,2960,2960,0.1
1423,"AIで荒らされることがクリエーターに対して食えないものや不当な契約を迫られるものが増える状況を引き起こしている。
文化庁のクリエーター軽視がすまないところまで来ている。",要望,AIで荒らされる,クリエーターに対して不当,NA,NA,文化庁,クリエーター軽視を改める,AIで荒らされることがクリエーターに対して不当だから、文化庁に対してクリエーター軽視を改めて欲しい。,4320,757,2960,2960,2182,603,0.1
1424,"現在のAI利用が悪意を持って行ったことへの抑止が足りない。
創作者が意見を求めるべきである。",規範的主張,AI利用が悪意を持って行われた,抑止が足りない,創作者,意見を求めるべき,NA,NA,AI利用が悪意を持って行われたことへの抑止が足りないから、創作者は意見を求めるべきである。,2685,3343,183,5014,2960,2960,0.2
1425,"AIがイラストレーターに対してポルノ画像を作って嫌がらせしている。
AIによる生成物の認可が認めるべきではない。",規範的主張,AIがイラストレーターに,嫌がらせしている,AIによる生成物の認可,認めるべきではない,NA,NA,AIがイラストレーターに嫌がらせしているから、AIによる生成物の認可は認めるべきではない。,0,4133,3967,265,2960,2960,0.1
1426,"AIによる無断学習やそれを使用した商売が日本の漫画やイラストの文化に対して利益が半減する状況を引き起こしている。
法の規制者が創作物の価値を守るようにして欲しい。",要望,AIによる無断学習,文化に対して利益が半減,NA,NA,法の規制者,創作物の価値を守る,AIによる無断学習が文化に対して利益が半減するから、法の規制者に創作物の価値を守って欲しい。,7,2125,2960,2960,237,1363,0.1
1427,"AIに関する法律を見直さなければ創作活動そのものが脅かされるが善ではないと捉えている。
読者がAIに関する法律を再考して欲しい。",要望,AIに関する法律,創作活動が脅かされる,NA,NA,読者,法律を再考して欲しい,AIに関する法律を見直さなければ創作活動が脅かされるから、読者に対して法律を再考して欲しい。,67,3323,2960,2960,1154,3624,0.2
1428,"生成AIの利用が一般のクリエイターと省庁で認識の差異がある。
画像生成分野においての利用が厳しい規制を施すべきである。",規範的主張,生成AIの利用,認識の差異,画像生成分野,厳しい規制,NA,NA,生成AIの利用が認識の差異があるから画像生成分野において厳しい規制を施すべきである。,0,4845,3689,52,2960,2960,0.2
1429,"生成AI利用者がクリエイターの名前をプロンプトに打ち込み画像等を生成する場合がクリエイターの名誉を毀損している。
誰かが生成AIの利用規制をもう一度検討しなおして欲しい。",要望,生成AI利用者,クリエイターの名誉を毀損,NA,NA,誰か,生成AIの利用規制をもう一度検討,生成AI利用者がクリエイターの名誉を毀損しているから、誰かに生成AIの利用規制をもう一度検討して欲しい。,0,4411,2960,2960,450,2161,0.1
1430,"AIを主とする体制が文化庁の信用が落ちる。
AI生成された絵への著作権適用がありえない。",規範的主張,AIを主とする体制,文化庁の信用が落ちる,AI生成された絵,著作権適用がありえない,NA,NA,AIを主とする体制が文化庁の信用が落ちるから、AI生成された絵への著作権適用がありえない。,2197,1281,0,15,2960,2960,0.1
1431,"生成AIが手描きのイラストに対して数分、秒で生成してしまう状況を引き起こしているか。
文化庁がAI生成が既存の職業を奪わないようにする策を考えて欲しい。",要望,生成AIが手描きのイラストに対して,数分、秒で生成してしまう状況,NA,NA,文化庁,AI生成が既存の職業を奪わないようにする策を考えて,生成AIが手描きのイラストに対して数分、秒で生成してしまう状況だから、文化庁に対してAI生成が既存の職業を奪わないようにする策を考えて欲しい。,0,3208,2960,2960,2182,2031,0.1
1432,"生成AIによって再現された絵柄が著作者でもないにも関わらず金儲けをしようとする輩。
政府が生成AIに対する強い規制をお願いする。",要望,生成AIによって再現された絵柄,著作者でもないにも関わらず金儲けをしようとする輩,NA,NA,政府,生成AIに対する強い規制,生成AIによって再現された絵柄が著作者でもないにも関わらず金儲けをしようとする輩だから、政府に対して生成AIに対する強い規制をして欲しい。,625,3223,2960,2960,2383,44,0.1
1433,"AIの使用が海外に対して多くの訴訟が起こっている状況を引き起こしている。
AIの使用が法的に厳しい規制が必要である。",規範的主張,AIの使用,訴訟が起こっている,法的に厳しい規制,必要,NA,NA,AIの使用が訴訟が起こっているから法的に厳しい規制が必要である。,13,3626,3565,39,2960,2960,0.2
1434,"AIと人間との差が学習しても同じ事が出来ないほど人間が不器用である。
著作権法がアウトプットに対して適用されるべきである。",規範的主張,AIと人間の差,人間が不器用,著作権法,適用されるべき,NA,NA,AIと人間の差が人間が不器用だから著作権法が適用されるべきである。,20,3158,15,191,2960,2960,0.8
1435,"AIによる悪用が現状に対して横行している。
AI利用の現状が作者が拒否できるようであるべき。",規範的主張,AIによる悪用,横行している,AI利用の現状,作者が拒否できるよう,NA,NA,AIによる悪用が横行しているから、AI利用の現状は作者が拒否できるようであるべきである。,13,4998,3331,4555,2960,2960,0.1
1436,"AI技術を用いた似非創作活動が他者の制作した創作物に対して無断で使用している。
AI禁止または無断のAI学習が著作権の及ぶ範囲とし罰則を与えられるものである。",規範的主張,AI技術の使用,他者の創作物に無断,AI禁止または無断のAI学習,著作権の及ぶ範囲とし罰則を与える,NA,NA,AI技術の使用が他者の創作物に無断であるから、AI禁止または無断のAI学習が著作権の及ぶ範囲とし罰則を与えられるべきである。,10,305,936,24,2960,2960,0.1
1437,"画像生成AIを使った誹謗中傷がクリエイターに対して心の病気を患わせている。
規制当局が画像生成AIに厳しい制限をかけて欲しい。",要望,画像生成AI,誹謗中傷がクリエイターに心の病,NA,NA,規制当局,厳しい制限をかけて欲しい,画像生成AIが誹謗中傷でクリエイターに心の病を患わせているから、規制当局には厳しい制限をかけて欲しい。,0,4716,2960,2960,369,902,0.1
1439,"無断で学習させたAI作品がクリエイターに対して還元がない状況を引き起こしている。
法整備がクリエイターに寄り添った心のあるものであることを望む。",要望,無断で学習させたAI作品,クリエイターに対して還元がない状況,NA,NA,法整備,クリエイターに寄り添った心のあるもの,無断で学習させたAI作品がクリエイターに対して還元がない状況だから、法整備に対してクリエイターに寄り添った心のあるものをして欲しい。,1083,1364,2960,2960,329,3608,0.1
1440,"AIが正確なルールの不在に対してAIがここまで嫌われるのは。
AIの使用が正確なルールを定めるべきである。",規範的主張,AIの使用,正確なルールの不在,正確なルール,定めるべき,NA,NA,AIの使用は正確なルールの不在だから正確なルールを定めるべきである。,13,4806,3298,93,2960,2960,0.1
1441,"AI生成イラストが絵師や俳優、声優、その他多くのクリエイターの権利に対して脅かしている。
関係者がデータセットの開示を求める。",要望,AI生成イラスト,クリエイターの権利脅威,NA,NA,関係者,データセットの開示,AI生成イラストがクリエイターの権利を脅かしているから、関係者に対してデータセットの開示をして欲しい。,0,175,2960,2960,2056,1876,0.2
1442,"生成AI利用者が行っていることがクリエイターのアイデンティティへの攻撃である。
生成AI利用者がクリエイターの権利を差し置かないようにして欲しい。",要望,生成AI利用者,クリエイターのアイデンティティへの攻撃,NA,NA,生成AI利用者,クリエイターの権利を差し置かないように,生成AI利用者がクリエイターのアイデンティティへの攻撃であるから、生成AI利用者に対してクリエイターの権利を差し置かないようにして欲しい。,0,2543,2960,2960,0,937,0.1
1445,"生成AI使用者が他人の著作物に対して著作権侵害を引き起こしている。
生成AIでの創作物に関して自身で作品を生み出す創作者側が自身の作品の権利を守れるように考え直すべきである。",規範的主張,生成AI使用者,著作権侵害を引き起こしている,創作者側,作品の権利を守る,NA,NA,生成AI使用者が著作権侵害を引き起こしているから、創作者側は作品の権利を守るべきである。,0,15,3734,1792,2960,2960,0.1
1446,"生成AIが創作活動に対して代替するようになる。
生成AIに対してが厳しい規制を設けるべきである。",規範的主張,生成AIが創作活動,代替するように,厳しい規制,設けるべき,NA,NA,生成AIが創作活動に代替するようになるから、厳しい規制を設けるべきである。,0,508,52,31,2960,2960,0.2
1447,"AI学習で使用されているイラストのほとんどががイラスト元の人物に対して利用されて困っている状況を引き起こしている。
イラスト元の人物が無許可で使用されていることをやめて欲しい。",要望,AI学習,イラストの利用,NA,NA,イラスト元の人物,無許可使用の停止,AI学習で使用されているイラストの利用が問題だから、イラスト元の人物に対して無許可での使用をやめて欲しい。,7,314,2960,2960,401,2945,0.1
1448,"無断で学習した生成AIがクリエイターに対してに対して脅かす存在になっているか。
生成AIが厳しい規制が必要である。",規範的主張,生成AIがクリエイターに対して脅かす存在,無断で学習,生成AIに対する規制,厳しいものであるべき,NA,NA,生成AIがクリエイターに対して脅かす存在で無断で学習しているから、生成AIに対する規制は厳しいものであるべきである。,0,269,44,27,2960,2960,0.1
